id,status,_server_id,text,id_linha,span_label.responses,span_label.responses.users,span_label.responses.status,span_label.suggestion,span_label.suggestion.score,span_label.suggestion.agent
91e0fc1d-1e30-4af4-aefa-a99e184517fe,completed,7acbd60b-ffed-40a0-9f5f-0694540a5f8e,"Vazamento de dicloretano (DCE) podem ter contaminado o lençol freático da região do Pontal da Barra. A denúncia é do SINDIPETRO, o primeiro acidente teria sido causado após a reação de etano com cloro no sistema de reator, e em seguida mais um problema teria sido verificado na alimentação de entrada de um dos tanques destinados a estocar temporariamente o DCE. Já o terceiro acidente vazamento ocorreu na bomba de transferência de CDE, que puxa o produto do tanque e envia para outro sistema do processo Industrial.",811,"[array([{'end': 99, 'label': 'CONSEQUENCIA', 'start': 31}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 99, 'label': 'CONSEQUENCIA', 'start': 31}]",,
cf1398bc-d1ab-4f83-a8b5-136fa1b08ed5,completed,86e8dce7-3822-4967-9793-ab2b99d19839,"O engavetamento provocou vazamento de óleo combustível e gasolina para a Represa Billings, responsável pelo abastecimento de água de cidades e região do ABC e também da capital. Com o choque dos veículos, vários tanques de combustível se romperam-se liberando óleo diesel que escorreu pelas drenagens da via alcançando a represa Billings, importante manancial da região. O Produto derramado formou uma mancha de aproximadamente 150 metros de raio.",2562,"[array([{'end': 249, 'label': 'CAUSA', 'start': 205},
        {'end': 446, 'label': 'CONSEQUENCIA', 'start': 402},
        {'end': 89, 'label': 'FENOMENO', 'start': 25}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 249, 'label': 'CAUSA', 'start': 205}
 {'end': 446, 'label': 'CONSEQUENCIA', 'start': 402}]",,
2c157183-8a1b-4dd1-b9af-1ee77fd7c598,completed,d3611ce2-47a4-4420-915b-c7054a0164db,"A acidente envolvendo o bi-trem carregado com 48 mil litros de combustível ( gasolina e diesel) tombou sobre a pista ocasionando interdição da pista nos dois sentido. Houve rompimento dos tanques, provocado vazamento de 500 litros de óleo diesel e 15 mil de litros de gasolina. O combustível que vazou foi depositado em buraco providenciado pela equipe de proteção ambiental, e o restante foi repassado para outro veículo.",2396,"[array([{'end': 116, 'label': 'FENOMENO', 'start': 96},
        {'end': 165, 'label': 'CONSEQUENCIA', 'start': 129}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 116, 'label': 'FENOMENO', 'start': 96}
 {'end': 165, 'label': 'CONSEQUENCIA', 'start': 129}]",,
eb17bd5a-95e8-4c75-a6a4-945a524f1f72,completed,7964f79d-9795-4214-a322-3b2c2a1c3c9e,"Um trem carregado com minério de ferro, colidiu com uma pedra proveniente de desabamento, causando o tombamento da locomotiva, o que gerou vazamento de aproximadamente 10.000 litros de óleo diesel contaminando aproximadamente 250m² de área. O óleo que vazou seguiu para a barragem de rejeito da Mina de Fazendo. Com o tombamento de alguns vagões houve derramamento de minério de ferro, onde o volume esta sendo aourado",1638,"[array([{'end': 88, 'label': 'FENOMENO', 'start': 40},
        {'end': 239, 'label': 'CONSEQUENCIA', 'start': 139}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 88, 'label': 'FENOMENO', 'start': 40}
 {'end': 239, 'label': 'CONSEQUENCIA', 'start': 139}]",,
de6d6d77-0f39-4125-884b-b570387d0988,completed,100fc54d-a4c1-4739-b443-7b0c2fdbaf3e,"O córrego que margeia o pátio da empresa Belosanta Transporte e Serviços Ltda., aumentou o volume atingindo o pátio, a área de lavagem de veículos, a troca de óleo e oficina da empresa, derrubando muros de divisa da propriedade, arrastando tambores de armazenamento de óleo lubrificante usado e filtros de óleo substituído contaminando as águas do córrego e suas margens.",2121,"[array([], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 97, 'label': 'CAUSA', 'start': 80}
 {'end': 370, 'label': 'CONSEQUENCIA', 'start': 186}]",,
723cb83c-0295-441e-a193-893d77152e3c,completed,943cb4a8-d66c-4954-ab31-8626cb939148,"Descarrilamento com tombamento, ocasionou o lançamento de 800m³ de rejeito de minério de ferro, 01 vagão tanque explodiu, causando incêndio que se alastrou pela vegetação no local, 05 vagões/tanques tombaram resultando no vazamento de aproximadamente 300.000 litros de óleo diesel na estrada de ferro e em um curso d'água/nascente que se verifica no local do acidente.",4260,"[array([{'end': 30, 'label': 'FENOMENO', 'start': 20},
        {'end': 368, 'label': 'CONSEQUENCIA', 'start': 222}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 30, 'label': 'FENOMENO', 'start': 20}
 {'end': 368, 'label': 'CONSEQUENCIA', 'start': 222}]",,
ff6578c4-adbf-410b-bbf9-6a7a1fe169a7,completed,49a4c90b-11f9-4b54-94e5-36b04dddb9f6,"Desvio feito temporariamente para desobstruir a linha férrea não resistiu as fortes chuvas e ao peso das locomotivas que por ali trafegavam e acabou cedendo, provocando o tombamento de locomotivas e vagões. Uma das locomotivas que tombou acabou derramando aproximadamente 1000 litros de óleo diesel (combustível) + óleo lubrificante no solo das proximidades do local.",1242,"[array([{'end': 366, 'label': 'CONSEQUENCIA', 'start': 245},
        {'end': 205, 'label': 'FENOMENO', 'start': 171},
        {'end': 90, 'label': 'CAUSA', 'start': 0}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 156, 'label': 'CAUSA', 'start': 61}
 {'end': 366, 'label': 'CONSEQUENCIA', 'start': 245}]",,
83b4c0ce-2e6c-4818-9154-9528e31c9a5d,completed,1cf2b4f1-8bb8-48fe-be96-7802fbba85be,"Desvio feito temporariamente para desobstruir a linha férrea Não resistiu as fortes chuvas e ao peso das locomotivas que por ali trafegavam e acabou cedendo, provocando o tombamento de locomotivas e vagões. Uma das locomotivas que tombou acabou derramando aproximadamente 1000 litros de óleo diesel (combustível) + óleo lubrificante no solo das proximidades do local.",4474,"[array([{'end': 139, 'label': 'CAUSA', 'start': 61},
        {'end': 205, 'label': 'FENOMENO', 'start': 142},
        {'end': 367, 'label': 'CONSEQUENCIA', 'start': 245}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 139, 'label': 'CAUSA', 'start': 61}
 {'end': 205, 'label': 'FENOMENO', 'start': 142}
 {'end': 367, 'label': 'CONSEQUENCIA', 'start': 245}]",,
3a6b1c3e-1199-496f-a108-9e296b0b7a5c,completed,b107c514-3f76-4987-9b7c-d755cc186e51,"Uma carreta carregada com papel e produtos diversos tombou e a carroceria atingiu um caminhão tanque carregado com 16 mil litros de gasolina, no impacto da batida o tanque foi arrancado. A carreta saiu da pista e caiu num barranco ás margens da rodovia, a gangolina que estava no tanque vazou e escorreu pelo barranco abaixo atingiu o rio Manhaçu.",578,"[array([{'end': 58, 'label': 'FENOMENO', 'start': 52},
        {'end': 346, 'label': 'CONSEQUENCIA', 'start': 325}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 58, 'label': 'FENOMENO', 'start': 52}
 {'end': 346, 'label': 'CONSEQUENCIA', 'start': 325}]",,
78a788c5-27cd-4d00-9e26-51a04897f714,completed,b7eef100-7ba3-4c4a-aea2-314622431b1d,"Colisão frontal entre dois veículos tipo carreta com queda e derramamento da carga. A carga em questão estava acondicionada em IBC's ( intermediante Bulk Containers) sendo que alguns recipientes se romperam, provocando o derramamento do produto ( ácido acético – cerca de 5.000 litros) que chegaram a atingir um curso d'águaa 400 metros do local.",878,"[array([{'end': 48, 'label': 'FENOMENO', 'start': 0}], dtype=object)]",['a33b0166-c4db-4d24-977c-ecfd212f91ce'],['submitted'],"[{'end': 48, 'label': 'FENOMENO', 'start': 0}]",,
